CYP,ECS,Cyprus,HIC,39544.68359,1198575,769485.125
CZE,ECS,Czech Republic,HIC,40836.32813,10669709,5334854.5
DEU,ECS,Germany,HIC,53784.78125,83132800,50627876
DJI,MEA,Djibouti,LMC,6596.775391,746221,114997.249
DMA,LCN,Dominica,UMC,11708.63965,72400,13176
DNK,ECS,Denmark,HIC,57821.19922,5818553,4910858.5
DOM,LCN,Dominican Republic,UMC,15328.35254,10528394,4063910
DZA,MEA,Algeria,UMC,11826.16504,40606052,12378740
ECU,LCN,Ecuador,UMC,11896.37695,16144368,5297211.143
EGY,MEA,"Egypt, Arab Rep.",LMC,10301.10742,87813256,21000000
ERI,SSF,Eritrea,LIC,1714.552368,4474690,726957.37
ESP,ECS,Spain,HIC,40985.55859,47076780,22408548
EST,ECS,Estonia,HIC,36956.28516,1326590,489511.7188
ETH,SSF,Ethiopia,LIC,1779.083984,99873032,6532786.97
FIN,ECS,Finland,HIC,48814.30859,5520314,3124497.75
FJI,EAS,Fiji,UMC,10787.68555,867086,189389.594
FRA,ECS,France,HIC,46110.18359,67059888,36748820
FRO,ECS,Faeroe Islands,HIC,44402.87891,48842,61000
FSM,EAS,"Micronesia, Fed. Sts.",LMC,3440.064209,104937,26039.57
GAB,SSF,Gabon,UMC,18514.65234,1086137,238102.31
GBR,ECS,United Kingdom,HIC,46290.12109,66460344,30771140
GEO,ECS,Georgia,LMC,12605.13965,3717100,800000
GHA,SSF,Ghana,LMC,3092.596924,21542008,3538274.978
GIB,ECS,Gibraltar,HIC,43711.80078,33623,16954
GIN,SSF,Guinea,LIC,1622.776855,8132552,596911
GMB,SSF,"Gambia, The",LIC,2180.855713,1311349,193440.54
GNB,SSF,Guinea-Bissau,LIC,1800.068604,1770526,289514
GNQ,SSF,Equatorial Guinea,UMC,24827.07227,1221490,198443.06
GRC,ECS,Greece,HIC,30465.44922,10716322,5615352.5
GRD,LCN,Grenada,UMC,13207.71191,105481,29536.11394
GRL,ECS,Greenland,HIC,43948.5625,56905,50000
GTM,LCN,Guatemala,UMC,8125.364746,16252429,2756740.971
GUM,EAS,Guam,HIC,59074.94141,159973,141500
GUY,LCN,Guyana,UMC,9812.089844,746556,179251.5
HKG,EAS,"Hong Kong SAR, China",HIC,57215.96875,7305700,5679816.465
HND,LCN,Honduras,LMC,5395.61377,9112867,2162027.696
HRV,ECS,Croatia,HIC,28829.35547,4067500,1810037.5
HTI,LCN,Haiti,LIC,2952.618652,10847334,2309852.455
HUN,ECS,Hungary,HIC,32643.49023,9769949,3780970.25
IDN,EAS,Indonesia,LMC,10531.19824,261115456,65200000
IMN,ECS,Isle of Man,HIC,44203.62109,80759,50551
IND,SAS,India,LMC,6496.807617,1352617344,189750000
IRL,ECS,Ireland,HIC,83388.71875,4867316,2910655
IRN,MEA,"Iran, Islamic Rep.",UMC,14535.8623,80277424,17885000
IRQ,MEA,Iraq,UMC,10310.67969,36115648,13140000
ISL,ECS,Iceland,HIC,55274.1875,343400,225270.4063
ISR,MEA,Israel,HIC,37687.74609,8380100,5400000
ITA,ECS,Italy,HIC,42419.72266,60297396,30088400
JAM,LCN,Jamaica,UMC,9550.810547,2881355,1051694.575
JOR,MEA,Jordan,UMC,10413.17578,8413464,2529997
JPN,EAS,Japan,HIC,41309.95703,126529104,42720000
KAZ,ECS,Kazakhstan,UMC,22702.58008,16791424,4659740
KEN,SSF,Kenya,LMC,3329.854492,41350152,5595099
KGZ,ECS,Kyrgyz Republic,LMC,4805.141113,5956900,1113300
KHM,EAS,Cambodia,LMC,3364.278809,15270790,1089000
KIR,EAS,Kiribati,LMC,2249.768555,114395,35723.8275
KNA,LCN,St. Kitts and Nevis,HIC,25569.35742,54288,32892.14
KOR,EAS,"Korea, Rep.",HIC,42105.28125,51606632,20452776
KWT,MEA,Kuwait,HIC,58810.30078,2998083,1750000
LAO,EAS,Lao PDR,LMC,6543.666992,6663967,351900
LBN,MEA,Lebanon,UMC,16966.74023,5603279,2040000
LBR,SSF,Liberia,LIC,1333.422241,3512932,564466.7
LBY,MEA,Libya,UMC,8479.946289,6193501,2147596.472
LCA,LCN,St. Lucia,UMC,14029.98242,177206,77616.228
LIE,ECS,Liechtenstein,HIC,45726.98828,36545,32382
LKA,SAS,Sri Lanka,LMC,12287.47266,21203000,2631650
LSO,SSF,Lesotho,LMC,1978.608398,1965662,73457
LTU,ECS,Lithuania,HIC,37278.30469,2786844,1315390.375
LUX,ECS,Luxembourg,HIC,114323.4063,619896,490337.75
LVA,ECS,Latvia,HIC,30982.17383,1912789,839714.375
MAC,EAS,"Macao SAR, China",HIC,117335.5859,612167,377942
MAF,LCN,St. Martin (French part),HIC,30385.89453,30959,15479.5
MAR,MEA,Morocco,LMC,6915.103027,34318080,6852000
MCO,ECS,Monaco,HIC,43711.80078,37783,46000
MDA,ECS,Moldova,LMC,10360.83008,3554108,3981200
MDG,SSF,Madagascar,LIC,1565.866943,24894552,3768759.16
MDV,SAS,Maldives,UMC,17284.60938,409163,211505.78
MEX,LCN,Mexico,UMC,19332.07422,125890952,53100000
MHL,EAS,Marshall Islands,UMC,3628.895264,52793,8614
MKD,ECS,"Macedonia, FYR",UMC,16147.72949,2082958,626970.375
MLI,SSF,Mali,LIC,2007.80603,16006670,1937354.44
MLT,MEA,Malta,HIC,43707.53906,502653,348841.1875
MMR,EAS,Myanmar,LMC,1093.788086,46095464,4677306.529
MNE,ECS,Montenegro,UMC,20752.62109,622227,329780.3125
MNG,EAS,Mongolia,LMC,10940.41504,3027398,2900000
MNP,EAS,Northern Mariana Islands,HIC,60955.72656,54036,32761.4145
MOZ,SSF,Mozambique,LIC,1217.09021,27212382,2500000
MRT,SSF,Mauritania,LMC,4783.635742,3506288,454000
MUS,SSF,Mauritius,UMC,20646.93359,1263473,438000
MWI,SSF,Malawi,LIC,999.4413452,16577147,1297844.48
MYS,EAS,Malaysia,UMC,23906.26563,30228016,12982685
NAM,SSF,Namibia,UMC,6152.987305,1559983,256729
NCL,EAS,New Caledonia,HIC,57330.20313,278000,108157.384
NER,SSF,Niger,LIC,1038.224121,8842415,1865645.67
NGA,SSF,Nigeria,LMC,4690.379395,154402176,27614830.07
NIC,LCN,Nicaragua,LMC,4611.840332,5737723,1528816.293
NLD,ECS,Netherlands,HIC,56849.375,17332850,8805088
NOR,ECS,Norway,HIC,64962.26172,5347896,4149967.25
NPL,SAS,Nepal,LIC,2902.249268,28982772,1768977.49
NRU,EAS,Nauru,UMC,11167.31934,13049,6191.7505
NZL,EAS,New Zealand,HIC,41857.47656,4692700,3405000
OMN,MEA,Oman,HIC,30535.83398,4933850,3307951
PAK,SAS,Pakistan,LMC,4571.414551,193203472,30760000
PAN,LCN,Panama,HIC,28436.35938,3969249,1472262.215
PER,LCN,Peru,UMC,11877.08398,30973354,8356711.13
PHL,EAS,Philippines,LMC,7705.04541,103320224,14631922.9
PLW,EAS,Palau,HIC,18275.02539,21503,9426.7455
PNG,EAS,Papua New Guinea,LMC,3912.381104,7755785,1000000
POL,ECS,Poland,HIC,33221.54297,37970872,12758213
PRI,LCN,Puerto Rico,HIC,34311.03125,3473181,4170953
PRT,ECS,Portugal,HIC,34961.94531,10269417,5268211
PRY,LCN,Paraguay,UMC,11810.42773,6639119,1818501.365
PSE,MEA,West Bank and Gaza,LMC,5985.683105,4046901,1387000
PYF,EAS,French Polynesia,HIC,60955.72656,273528,147000
QAT,MEA,Qatar,HIC,96261.66406,2109568,1000990.016
ROU,ECS,Romania,UMC,29983.55664,19356544,5419832.5
RUS,ECS,Russian Federation,UMC,26012.84961,143201680,60000000
RWA,SSF,Rwanda,LIC,1950.528076,11917508,4384969
SAU,MEA,Saudi Arabia,HIC,48921.23047,31557144,16125700.58
SDN,SSF,Sudan,LMC,4191.823242,38647804,2831291
SEN,SSF,Senegal,LIC,3067.662598,15411614,2454059.25
SGP,EAS,Singapore,HIC,97341.46875,5703600,1870000
SLB,EAS,Solomon Islands,LMC,2596.452881,563513,179971.9644
SLE,SSF,Sierra Leone,LIC,1237.630249,5439695,610222.09
SLV,LCN,El Salvador,LMC,7328.713379,6164626,1648996.18
SMR,ECS,San Marino,HIC,58806.19922,33203,17174.68
SOM,SSF,Somalia,LIC,1862.614136,14317996,2326099.17
SRB,ECS,Serbia,UMC,18351.27344,6944975,2347401.5
SSD,SSF,South Sudan,LIC,1795.991943,11177490,2680681
STP,SSF,São Tomé and Príncipe,LMC,3720.786865,191266,25586.5
SUR,LCN,Suriname,UMC,16953.80273,526103,78619.79915
SVK,ECS,Slovak Republic,HIC,31965.76172,5454073,2296164.75
SVN,ECS,Slovenia,HIC,39037.93359,2087946,1052324.75
SWE,ECS,Sweden,HIC,52608.71094,10285453,4618168.5
SWZ,SSF,Eswatini,LMC,8321.106445,1343098,218199.47
SXM,LCN,Sint Maarten (Dutch part),HIC,0,37685,0
SYC,SSF,Seychelles,HIC,23302.95313,88303,48000
SYR,MEA,Syrian Arab Republic,LIC,8587.050781,20824892,4500000
TCA,LCN,Turks and Caicos Islands,HIC,28174.48242,34900,0
TCD,SSF,Chad,LIC,1732.691284,11887202,1358850.53
TGO,SSF,Togo,LIC,1404.132935,7228915,1109030.45
THA,EAS,Thailand,UMC,16301.53809,68657600,26853366
TJK,ECS,Tajikistan,LIC,2616.475586,8177809,1787400
TKM,ECS,Turkmenistan,UMC,11471.18652,5366277,500000
TLS,EAS,Timor-Leste,LMC,3344.57373,1268671,63875
TON,EAS,Tonga,UMC,5636.418457,104951,17238.20175
TTO,LCN,Trinidad and Tobago,HIC,28910.9082,1328100,727874
TUN,MEA,Tunisia,LMC,10505.2627,11143908,2700000
TUR,ECS,Turkey,UMC,28289.08789,83429616,35374156
TUV,EAS,Tuvalu,UMC,3793.127686,11097,3989.4865
TWN,EAS,Taiwan,HIC,57362.92578,23434000,7336000
TZA,SSF,Tanzania,LIC,2128.553955,49082996,9276995
UGA,SSF,Uganda,LIC,1972.301758,35093648,7045049.836
UKR,ECS,Ukraine,LMC,11534.6377,45004644,15242025
URY,LCN,Uruguay,HIC,20588.39258,3431552,1260139.509
USA,NAC,United States,HIC,61498.37109,326687488,265224528
UZB,ECS,Uzbekistan,LMC,5164.274414,29774500,4000000
VCT,LCN,St. Vincent and the Grenadines,UMC,11971.99316,109455,31561.34925
VEN,LCN,"Venezuela, RB",UMC,14269.67383,29893080,9779093.14
VGB,LCN,British Virgin Islands,HIC,24215.88281,20645,21099.19
VIR,LCN,Virgin Islands (U.S.),HIC,30436.56445,105784,146500
VNM,EAS,Vietnam,LMC,5089.411133,86932496,9570300
VUT,EAS,Vanuatu,LMC,3061.787354,270402,70225.489
WSM,EAS,Samoa,UMC,6210.983398,187665,27399.09
XKX,ECS,Kosovo,LMC,9723.561523,1801800,319000
YEM,MEA,"Yemen, Rep.",LIC,8269.671875,27584212,4836820
ZAF,SSF,South Africa,UMC,12666.60742,51729344,18457232
ZMB,SSF,Zambia,LMC,3201.289307,14264756,2608268
ZWE,SSF,Zimbabwe,LIC,3190.506592,12500525,1449752
